Title,sku,mrp
"MENS WASHED AMPHIBIAN WALK SHORT
",85A-32,3995
"MENS WASHED AMPHIBIAN WALK SHORT
",85A-34,3995
"MENS WASHED AMPHIBIAN WALK SHORT
",85A-36,3995
"MENS WASHED AMPHIBIAN WALK SHORT
",85A-28,3995
"MENS WASHED AMPHIBIAN WALK SHORT
",85A-38,3995
"Quiksilver Mens Everyday Solid Amphibian 21-Inch Walk Short
",85B-32,3995
Tommy Hilfiger Men  Belt,85O-S,3450
"United Colors of Benetton Full Sleeve Printed Womens Sweatshirt
",85S-L,1999
"United Colors of Benetton Full Sleeve Printed Womens Sweatshirt
",85S-M,1999
"United Colors of Benetton Full Sleeve Printed Womens Sweatshirt
",85S-XS,1999
"United Colors of Benetton Mens Sweater
",85Z-L,2199
"United Colors of Benetton Mens Sweater
",85Z-M,2199
"United Colors of Benetton Mens Sweater
",85Z-S,2199
"United Colors of Benetton Mens Sweater
",85Z-XXL,2199
"United Colors of Benetton Men Blue Polo T-shirt
",860-S,1999
"United Colors of Benetton Men Blue Polo T-shirt
",860-XL,1999
Wrangler Mens Cotton Polo,86H-S,1595
United Colors of Benetton Mens Trackpants,86O-L,1999
United Colors of Benetton Mens Trackpants,86O-M,1999
United Colors of Benetton Mens Trackpants,86O-S,1999
United Colors of Benetton Mens Trackpants,86O-XL,1999
"Puma Womens Black Capri
",86P-S,1399
"Quiksilver Solid Mens Yellow Sports Shorts
",86R-30,1995
"Quiksilver Solid Mens Black Basic Shorts
",87H-32,2995
"Quiksilver Solid Mens Black Basic Shorts
",87H-34,2995
"Wrangler Regular Fit Mens Blue Jeans
",87W-36,2295
"Reebok ELECTRO RUN Men Running Shoes
",888-9,3999
"Lee Slim Fit Womens Blue Jeans
",89A-26,1999
"United Colors of Benetton Solid Mens Waistcoat
",89I-M,2999
"Puma Elego DP Men Sports Sandals
",8AB-4,2299
VANS HUNTLEY Sneakers,8BH-3.5,3999
VANS HUNTLEY Sneakers,8BH-2.5,3999
VANS HUNTLEY Sneakers,8BH-4.5,3999
"Lee Regular Fit Womens Light Blue Jeans
",8BI-26,1999
"Van Heusen Regular Fit Womens Black Jeans
",8CE-36,2495
"Van Heusen Regular Fit Womens Black Jeans
",8CE-26,2495
"Lee Mens Printed Casual Blue Shirt
",8CF-M,1899
"Wrangler Mens Checkered Casual White, Black Shirt
",8CH-L,2695
"Lee Mens Casual Shirt
",8CP-XL,1899
"Vero Moda Solid Womens Round Neck Yellow T-Shirt
",8DB-S,495
"United Colors of Benetton Girls White, Green, Purple Dress 
",8DC-EL,1699
"Vero Moda Womens T-Shirt
",8DD-M,1895
"Vero Moda Womens T-Shirt
",8DD-XL,1895
"UCB Sleeveless White Printed Top For Kids

",8DF-S,1099
"UCB Sleeveless White Printed Top For Kids

",8DF-XL,1099
"United Colors of Benetton Casual Short Sleeve Printed Girls White Top
",8DG-M,1099
"Vero Moda Casual Sleeveless Printed Womens Black Top
",8DH-L,795
"Vero Moda Casual Sleeveless Printed Womens Black Top
",8DH-S,795
United Colors of Benetton Men Sneakers,8E3-9,3499
VANS Men Loafers,8EF-9,3299
VANS Men Loafers,8EF-11,3299
FS Mini Klub Striped Baby Girls Round Neck Pink T-Shirt (6-9 Months),8EP-R,599
FS Mini Klub Striped Baby Girls Round Neck Pink T-Shirt (9 - 12 Months),8EQ-R,599
FS Mini Klub Striped Baby Girls Round Neck Pink T-Shirt (0 - 3 Months),8ES-R,599
FS Mini Klub Printed Baby Girls Round Neck Pink T-Shirt (0 - 3 Months),8EU-R,599
FS Mini Klub Printed Baby Girls Round Neck Pink T-Shirt (3 - 6 Months),8EX-R,599
FS Mini Klub Printed Baby Girls Round Neck Pink T-Shirt (6 - 9 Months),8EY-R,599
FS Mini Klub Printed Baby Boys Round Neck White T-Shirt (0 - 3 Months),8F0-R,599
FS Mini Klub Printed Baby Boys Round Neck White T-Shirt (3 - 6 Months),8F2-R,599
FS Mini Klub Printed Baby Boys Round Neck White T-Shirt (6 - 9 Months),8F3-R,599
FS Mini Klub Printed Baby Boys Round Neck White T-Shirt (9 - 12 Months),8F4-R,599
FS Mini Klub Printed Baby Girls Round Neck Multicolor T-Shirt (0 - 3 Months),8FA-R,699
FS Mini Klub Printed Baby Girls Round Neck Multicolor T-Shirt (3 - 6 Months),8FB-R,699
FS Mini Klub Printed Baby Girls Round Neck Multicolor T-Shirt (6 - 9 Months),8FD-R,699
"FS Mini Klub Striped Baby Boys Round Neck T-Shirt (6 - 9 Months)
",8FJ-R,449
"FS Mini Klub Striped Baby Boys Round Neck T-Shirt (9 - 12 Months)
",8FK-R,449
FS Mini Klub Printed Baby Girls Round Neck Multicolor T-Shirt (0 - 3 Months),8FL-R,649
"FS Mini Klub Fillers Baby Boys Multicolor Bodysuit (3 - 6 Months)
",8FQ-R,699
"FS Mini Klub Fillers Baby Girls Multicolor Bodysuit (0 - 3 Months)
",8FY-R,699
"FS Mini Klub Fillers Baby Girls Multicolor Bodysuit (3 - 6 Months)
",8FZ-R,699
FS Mini Klub Solid Baby Boys Round Neck Grey T-Shirt (3 - 6 Months),8G2-R,599
FS Mini Klub Striped Baby Boys Round Neck Blue T-Shirt (3 - 6 Months),8G5-R,599
"FS Mini Klub Solid Baby Boys Round Neck Blue T-Shirt (0 - 3 Months)
",8GF-R,549
"FS Mini Klub Solid Baby Boys Round Neck Blue T-Shirt (6 - 9 Months)
",8GG-R,549
"FS Mini Klub Solid Baby Boys Round Neck Blue T-Shirt (9 - 12 Months)
",8GI-R,549
Mad Love Women Flats,8GP-4.5,1499
"FS Mini Klub PO2 Bottoms Striped Baby Boys Blue Track Pants (New Born)
",8GT-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Blue Track Pants (3 - 6 Months)
",8GU-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Blue Track Pants (0 - 3 Months)
",8GW-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Blue Track Pants (9 - 12 Months)
",8GX-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Orange Track Pants (New Born)
",8GZ-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Orange Track Pants (0 - 3 Months)
",8H0-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Orange Track Pants (3 - 6 Months)
",8H1-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Orange Track Pants (6 - 9 Months)
",8H2-R,599
"FS Mini Klub PO2 Bottoms Striped Baby Boys Orange Track Pants (9 - 12 Months)
 ",8H3-R,599
"FS Mini Klub Baby Girls Pink, White Leggings (New Born)",8H4-R,599
"FS Mini Klub Baby Girls Pink, White Leggings (0 - 3 Months)",8H5-R,599
"FS Mini Klub Baby Girls Pink, White Leggings (3 - 6 Months)",8H6-R,599
"FS Mini Klub Baby Girls Pink, White Leggings (12 - 18 Months)",8H7-R,599
"FS Mini Klub Baby Girls White, Pink Leggings (New Born)",8H8-R,599
FS Mini Klub Baby Girls Yellow Leggings (New Born),8HE-R,599
FS Mini Klub Baby Girls Yellow Leggings (6 - 9 Months),8HF-R,599
"People Regular Fit Womens White, Blue Trousers
",8HI-30,799
"People Womens Yellow, Orange Dress
",8HJ-L,1199
"People Womens Yellow, Orange Dress
",8HJ-M,1199
"People Womens Yellow, Orange Dress
",8HJ-XS,1199
"People Womens Brown Dress
",8HO-L,1199
"People Womens Brown Dress
",8HO-S,1199
